"","Dia","Valor"
"705","24.Oct.2012",481.4
"706","25.Oct.2012",481.78
"707","26.Oct.2012",478.87
"708","29.Oct.2012",480.3
"709","30.Oct.2012",481.98
"710","31.Oct.2012",480.03
"711","05.Nov.2012",480.59
"712","06.Nov.2012",482.29
"713","07.Nov.2012",479.78
"714","08.Nov.2012",479.63
"715","09.Nov.2012",478.19
"716","12.Nov.2012",479.79
"717","13.Nov.2012",479.98
"718","14.Nov.2012",483.69
"719","15.Nov.2012",484.26
"720","16.Nov.2012",483.94
"721","19.Nov.2012",484.48
"722","20.Nov.2012",480.77
"723","21.Nov.2012",478.92
"724","22.Nov.2012",477.81
"725","23.Nov.2012",476.2
"726","26.Nov.2012",478.03
"727","27.Nov.2012",480.9
"728","28.Nov.2012",481.05
"729","29.Nov.2012",481.69
"730","30.Nov.2012",479.42
"731","03.Dec.2012",480.39
"732","04.Dec.2012",481.28
"733","05.Dec.2012",481.05
"734","06.Dec.2012",480.18
"735","07.Dec.2012",477.97
"736","10.Dec.2012",477.04
"737","11.Dec.2012",476.29
"738","12.Dec.2012",474.78
"739","13.Dec.2012",474.92
"740","14.Dec.2012",474.95
"741","17.Dec.2012",474.36
"742","18.Dec.2012",474.5
"743","19.Dec.2012",474.81
"744","20.Dec.2012",474.42
"745","21.Dec.2012",475.02
"746","24.Dec.2012",476.4
"747","26.Dec.2012",479.39
"748","27.Dec.2012",479.09
"749","28.Dec.2012",478.6
"750","02.Jan.2013",479.96
"751","03.Jan.2013",475.31
"752","04.Jan.2013",473.25
"753","07.Jan.2013",473.13
"754","08.Jan.2013",471.47
"755","09.Jan.2013",471.36
"756","10.Jan.2013",471.15
"757","11.Jan.2013",470.67
"758","14.Jan.2013",471.92
"759","15.Jan.2013",472.62
"760","16.Jan.2013",474.9
"761","17.Jan.2013",475.47
"762","18.Jan.2013",473.06
"763","21.Jan.2013",471.63
"764","22.Jan.2013",472.02
"765","23.Jan.2013",471.45
"766","24.Jan.2013",470.98
